Name,lat,lon,meanWind
LONS-LE-SAUNIER,46.683,5.517,2.2434554973822
MARCE,47.56,-0.312,3.03007462254874
CHATEAUBERNARD,45.658,-0.318,3.49465765765766
CHAMPNIERS,45.717,0.217,4.23122229259025
BELLEGARDE,45.863,1.179,3.54050812099538
LA ROCHE,45.151,1.469,1.85033510515369
AUVERGNE,45.787,3.169,2.84217699775952
CHAMONIX,45.93,6.88,0.69797036483626
LOUDES,45.081,3.763,2.81428734061931
BOUTHEON,45.541,4.296,2.44880481008946
CAUMONT,43.907,4.902,3.62918489523371
BRON,45.727,4.944,3.01510549872123
SAINT EXUPERY,45.726,5.091,3.31799124625662
AMBERIEU,45.987,5.328,2.75337437565339
VILLARS DE LANS,45.067,5.517,0.410989010989011
SAINT GEOIRS,45.363,5.329,2.97170509755533
GRENONBLE LVD,45.22,5.85,1.47472322428163
AIX LES BAINS,45.638,5.88,2.29215788688255
ANNECY / MEYTHET,45.933,6.1,1.82555223193741
ANNECY/MEYTHET,45.933,6.1,1.48461538461538
MODANE AVRIEUX,45.217,6.717,1.49473684210526
BOURG ST-MAURICE,45.617,6.767,1.48948970037453
CAP FERRET,44.633,-1.25,5.08455684346095
CAZAUX,44.533,-1.125,3.0371572116391
BISCAROSSE/PARENTIS,44.433,-1.25,4.68709758551308
MERIGNAC,44.828,-0.716,3.44061779621946
LA GARENNE,44.175,0.591,2.52284722724315
ROUMANIERE,44.825,0.519,2.46190510066159
GOURDON,44.75,1.4,2.24146020347098
MONTAUBAN,44.026,1.378,2.38338145282365
AURILLAC,44.891,2.422,3.09919019232932
MARCILLAC,44.408,2.483,3.76148312766828
CASSAGNES BEGONHES,44.178,2.515,2.70669254450542
MILLAU,44.117,3.017,4.9278946096205
MONT AIGOUAL,44.117,3.583,10.7417305198633
BRENOUX,44.502,3.533,3.3940206185567
AVIGNON,43.9,4.9,3.76172724085544
LANAS SYN,44.533,4.367,3.28058194774347
MONTELIMAR/ANCONE,44.583,4.733,3.85152254765225
CARITAT,44.14,4.867,4.93180638265384
CARPENTRAS,44.083,5.05,2.48185441331614
ST-AUBAN-SUR-DURANC,44.067,6,3.52141216991963
SAINT CHRISTOPHE / OISANS,44.933,6.25,0.624232081911263
EMBRUN,44.567,6.5,3.05828794695714
BRIANCON,44.917,6.65,1.81196454948301
SOCOA,43.4,-1.683,4.34883803232276
ANGLET,43.468,-1.523,3.10558349733946
DAX SEYRESSE,43.683,-1.067,2.06576587493941
